"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003420690483","https://ae04.alicdn.com/kf/H7b06110d17244103939c8f65cfe05cd1V.jpg",,"8Pcs 13cm Disney Movie Real Steel Zeus Atom Midas Adam Raider Robot Noisy Boy Action Figure Model Toys Gift","USD 8.46","USD 6.77","20%","USD","7","USD 0.47","58","94.7%","https://s.click.aliexpress.com/e/_DlpnM2r"
"1005004397292557","https://ae04.alicdn.com/kf/S46777bc9a6c5479f8351fb7af3fd569d1.jpg",,"Original Trend Pusheens Cos Dinosaur Unicorn Mermaid Fat Cat Figure Rare Limite Collection Model Figurine Toy Gift For Kid Child","USD 3.81","USD 2.89","24%","USD","7","USD 0.20","234","97.6%","https://s.click.aliexpress.com/e/_DD0gBHZ"
"1005003288781968","https://ae04.alicdn.com/kf/S66532ee9000f492292af5b2e0fe8cfe3a.jpg",,"Star Wars Action Figure Robot R2-D2 Joints Movable 3.75-inches Model Ornaments Toys Children Gifts","USD 14.92","USD 12.23","18%","USD","8.0","USD 0.98","50","96.9%","https://s.click.aliexpress.com/e/_DkhhiuL"
"1005003113309446","https://ae04.alicdn.com/kf/Hc255ed29d8e34e7bb62026e93ffa6d224.jpg",,"Children Toys Mini Transformation Robot Kit Toys Models 2 in 1 Deformed Car Toy Robots Toys For Kids Gift","USD 4.95","USD 3.46","30%","USD","10.0","USD 0.35","1146","92.3%","https://s.click.aliexpress.com/e/_De0wVjz"
"1005003695092567","https://ae04.alicdn.com/kf/H1f8dce0f247b4037977e0a32922af5d39.jpg",,"New radio paw patrol toy set cartoon anime radio walkie-talkie parent-child outdoor interactive telephone game toy gift","USD 9.59","USD 7.48","22%","USD","15.0","USD 1.12","64","71.7%","https://s.click.aliexpress.com/e/_DEFLHKb"
"1005004099804919","https://ae04.alicdn.com/kf/S353a2f3c647c409a845a37d48056bbf57.jpg",,"JOYTOY 1/18 Action Figure Mecha Robot The Stars Xingtian Mecha Pilot Collection Model Toys Gift Free Shipping","USD 278.25","USD 122.43","56%","USD","7","USD 8.57","24","100.0%","https://s.click.aliexpress.com/e/_DmcLIkj"
"1005004202034719","https://ae04.alicdn.com/kf/Sfc6e845119664af09d4beb832e54e337N.png",,"New Bakuganes Battle Ball Catapult Battle Platform Card Monster Action Toy Figures Tall Collectible Figures Toy for Kids","USD 7.24","USD 3.62","50%","USD","7","USD 0.25","35","100.0%","https://s.click.aliexpress.com/e/_DDhy2If"
"1005003159966516","https://ae04.alicdn.com/kf/H57dc5548639041d2beac16aef47415c2l.jpg",,"Transformation APC TOYS  Apache Magic Voice EvilVoice TFP Leader's Certificate Sonic Air Force Air Force Transform Robot","USD 45.50","USD 45.50","0%","USD","7","USD 3.18","20","100.0%","https://s.click.aliexpress.com/e/_De1OEQn"
"1005002321220471","https://ae04.alicdn.com/kf/H7bdb344083ab497683efb2df872c807e9.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/305878490635.mp4","Super Wings S4 S5 Mini Transforming Toy Deformation Airplane Robot Action Figures Cartoon Transformation Toys For Children Gifts","USD 11.42","USD 7.99","30%","USD","8.0","USD 0.64","76","95.2%","https://s.click.aliexpress.com/e/_DndvkGF"
"1005003237197203","https://ae04.alicdn.com/kf/H796a9a1eef54480ca5df7880196588a0S.jpg",,"New FIFTYSEVEN Industry Type.3 Type.9 Type.5 No.57 Maid YUI Armored Puppet Oni Flame Grave Frog 1/24 Scale Action Figure Toys","USD 30.99","USD 15.49","50%","USD","8.0","USD 1.24","32","98.2%","https://s.click.aliexpress.com/e/_DEBZ3pD"
"1005003385786670","https://ae04.alicdn.com/kf/Hec709b51f52c4d19a4cb461052a7665bI.jpg",,"2022 Marvel superhero, Avengers, Iron Man, Superman, action board,  of Christmas and birthday gifts children's toys","USD 5.98","USD 2.99","50%","USD","7","USD 0.21","50","96.3%","https://s.click.aliexpress.com/e/_DCYXt3H"
"1005003149037522","https://ae04.alicdn.com/kf/H5a322defb88146e8ae4b4001f785f392x.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100038809493.mp4","BMB LS03 Masterpiece Transformation Action Figure Toy OP Commander Movie Model KO MPM04 MPM-04 Convoy Deformation Car Robot","USD 128.16","USD 85.87","33%","USD","7","USD 6.01","22","100.0%","https://s.click.aliexpress.com/e/_DC8jyqf"
"1005004106585637","https://ae04.alicdn.com/kf/S29a2352ec1d749758e1efb7f0dea9f87w.png",,"New Bakuganes Battle Ball Catapult Battle Platform Card Monster Action Toy Figures Tall Collectible Figures Toy for Kids","USD 7.12","USD 3.56","50%","USD","7","USD 0.25","293","94.1%","https://s.click.aliexpress.com/e/_DDA32QB"
"1005003167027430","https://ae04.alicdn.com/kf/Hbc5ff80e3bad483b821f2408f8078831y.jpg",,"Silverlit Robocar 6 Style Korea Robot Kids ToysTransformation Anime Action Figure Poli Toys For Children Playmobil Juguetes","USD 5.05","USD 3.59","29%","USD","7","USD 0.25","37","90.8%","https://s.click.aliexpress.com/e/_DEuFf9p"
"1005002421316528","https://ae04.alicdn.com/kf/S52ebdd7135a848818df8e59d5c498d1bK.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304536229309.mp4","ABS Gogo Bus Transformation Vehicle 3 Changeable Face Expression Action Figures Deformation Ambulance/Police/Fireman Slide Toys","USD 22.70","USD 14.75","35%","USD","7","USD 1.03","21","100.0%","https://s.click.aliexpress.com/e/_DcgbtLd"
"1005004426276598","https://ae04.alicdn.com/kf/S7c9ece507adc458b8197534f680e6ffbA.jpg",,"COMIC CLUB IN-STOCK SNAA Super Nova Mobile Armor XH-01 Hunt And Kill Air Combat Enhanced Weapon Assembly Robot Model Figure Toys","USD 49.99","USD 39.99","20%","USD","7","USD 2.80","29","100.0%","https://s.click.aliexpress.com/e/_DFzHZt1"
"1005004174003692","https://ae04.alicdn.com/kf/S6829453c3b6147de923fdff830f6013eS.jpg",,"【In Stock】Dream Star Toys DST01-001 Slingshoot Slingshot 3rd Party Robot Transformation Toys Action Figures Plastic Collection","USD 121.99","USD 121.99","0%","USD","7","USD 8.54","31","100.0%","https://s.click.aliexpress.com/e/_DeapLjN"
"1005003278749333","https://ae04.alicdn.com/kf/H582633f2b2ce4a02b3b0c934bd82d3224.jpg",,"Big!!! ABS Tobot Transformation Robot Toys Korea Cartoon Brothers Anime Tobot Deformation Car Airplane Toys for Child Gift","USD 82.37","USD 56.84","31%","USD","7","USD 3.98","23","86.7%","https://s.click.aliexpress.com/e/_DBBx5P9"
